"song_name","song_popularity","song_duration_ms","acousticness","danceability","energy","instrumentalness","key","liveness","loudness","audio_mode","speechiness","tempo","time_signature","audio_valence","artist_name","album_names","playlist","image"
"Boulevard of Broken Dreams","73","262333","0.005520000000000001","0.496","0.682","2.94e-05","8","0.0589","-4.095","1","0.0294","167.06","4","0.474","Green Day","Greatest Hits: God's Favorite Band","00s Rock Anthems","//upload.wikimedia.org/wikipedia/en/thumb/2/2a/Green_Day_-_Boulevard_of_Broken_Dreams_cover.jpg/220px-Green_Day_-_Boulevard_of_Broken_Dreams_cover.jpg"
"In The End","66","216933","0.0103","0.542","0.853","0.0","3","0.10800000000000001","-6.407","0","0.0498","105.256","4","0.37","Linkin Park","Hybrid Theory","00s Rock Anthems","//upload.wikimedia.org/wikipedia/en/thumb/3/3f/LinkinParkIntheEnd.jpg/220px-LinkinParkIntheEnd.jpg"
"Seven Nation Army","76","231733","0.00817","0.737","0.46299999999999997","0.447","0","0.255","-7.827999999999999","1","0.0792","123.881","4","0.324","The White Stripes","Elephant","00s Rock Anthems","//upload.wikimedia.org/wikipedia/en/thumb/6/62/7nationarmy.jpg/220px-7nationarmy.jpg"
"By The Way","74","216933","0.0264","0.451","0.97","0.00355","0","0.102","-4.938","1","0.107","122.444","4","0.198","Red Hot Chili Peppers","By The Way (Deluxe Version)","00s Rock Anthems","//upload.wikimedia.org/wikipedia/en/thumb/2/23/Rhcp9.jpg/220px-Rhcp9.jpg"
"How You Remind Me","56","223826","0.0009539999999999999","0.447","0.7659999999999999","0.0","10","0.113","-5.065","1","0.0313","172.011","4","0.574","Nickelback","Silver Side Up","00s Rock Anthems","//upload.wikimedia.org/wikipedia/en/thumb/5/56/Nickelback_-_How_You_Remind_Me_-_CD_cover.jpg/220px-Nickelback_-_How_You_Remind_Me_-_CD_cover.jpg"
"Bring Me To Life","80","235893","0.00895","0.316","0.945","1.85e-06","4","0.396","-3.1689999999999996","0","0.124","189.93099999999998","4","0.32","Evanescence","Fallen","00s Rock Anthems","//upload.wikimedia.org/wikipedia/en/thumb/9/98/Bring_Me_To_Life.jpg/220px-Bring_Me_To_Life.jpg"
"Last Resort","81","199893","0.000504","0.581","0.887","0.0011099999999999999","4","0.268","-3.659","0","0.0624","90.57799999999999","4","0.7240000000000001","Papa Roach","Infest","00s Rock Anthems","//upload.wikimedia.org/wikipedia/en/d/d7/Papa_roach_last_resort.png"
"Are You Gonna Be My Girl","76","213800","0.00148","0.613","0.953","0.000582","2","0.152","-3.435","1","0.0855","105.046","4","0.537","Jet","Get Born","00s Rock Anthems","//upload.wikimedia.org/wikipedia/en/thumb/c/c5/Jet_-_Are_You_Gonna_Be_My_Girl%3F_CD_cover.jpg/220px-Jet_-_Are_You_Gonna_Be_My_Girl%3F_CD_cover.jpg"
"Mr. Brightside","80","222586","0.00108","0.33","0.9359999999999999","0.0","1","0.0926","-3.66","1","0.0917","148.112","4","0.23399999999999999","The Killers","Hot Fuss","00s Rock Anthems","//upload.wikimedia.org/wikipedia/en/thumb/d/d1/Mr.-Brightside.jpg/220px-Mr.-Brightside.jpg"
"Sex on Fire","81","203346","0.00172","0.542","0.905","0.0104","9","0.136","-5.653","1","0.054000000000000006","153.398","4","0.374","Kings of Leon","Only By The Night","00s Rock Anthems","//upload.wikimedia.org/wikipedia/en/thumb/6/6c/SexOnFire.jpg/220px-SexOnFire.jpg"
